YY	MM	DD	WDIR	WSPD	GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
yr	mo	dy	degT	m/s	m/s	m	sec	sec	deg	hPa	degC	degC	degC	nmi	ft
2013	8	31	353	1.3	1.9	0.96	7.69	6.24	286	1013.4	16.2	17.1	999	99	99
2013	9	1	164	4.3	5.3	1.11	11.44	6.38	260	1012.5	15.5	16.9	999	99	99
2013	9	2	181	6.6	8	1.55	10.11	5.76	277	1011.7	16.4	17.7	999	99	99
2013	9	3	177	6.8	8.1	1.52	7.54	5.46	247	1014	16.6	17.9	999	99	99
2013	9	4	176	3.9	4.8	1.02	7.46	5.48	234	1016.7	16.8	18.2	999	99	99
2013	9	5	225	3	3.8	0.76	11.36	5.78	207	1391.6	17.2	17.9	999	99	99
2013	9	6	285	5	6.1	5.87	15.26	10.02	324	1019.8	17.8	17.5	999	99	99
2013	9	7	127	3.2	4	1.78	10.57	7.13	305	1018.4	16.8	17.5	999	99	99
2013	9	8	224	8.7	10.4	1.56	7.93	4.99	324	1017.1	17	17	999	99	99
2013	9	9	94	9.5	11.5	1.78	6.35	5.06	312	1016.8	15.9	15.4	999	99	99
2013	9	10	196	8.6	10.2	1.8	6.1	5.18	343	1012.6	15.4	14.6	999	99	99
2013	9	11	230	5.6	6.8	10.24	16.45	13.95	349	1011.3	14.9	14.2	999	99	99
2013	9	12	167	3.6	4.6	1.71	13.67	8.59	283	1016	14.8	16	999	99	99
2013	9	13	155	1.9	2.4	1.29	11.39	9.11	287	1015.4	15.3	15.6	999	99	99
2013	9	14	39	4	4.8	5.18	13.46	10.73	312	1011.3	16	14.5	999	99	99
2013	9	15	210	2.2	2.9	1.17	11.81	7.52	262	1009.3	15.5	15.1	999	99	99
2013	9	16	193	4.1	5	1.72	12.51	8.27	274	1014	15.5	15.5	999	99	99
2013	9	17	216	3.4	4.2	5.68	14.89	11.02	319	1013.9	16	15.7	999	99	99
2013	9	18	266	2.1	2.9	1.98	10.66	7.68	297	1018.1	15.7	15.4	999	99	99
2013	9	19	101	3.3	4	1.5	9.92	7.5	308	1014.2	15.5	15.2	999	99	99
2013	9	20	169	6.5	7.8	5.96	15.77	10.99	300	1007	15.3	15.7	999	99	99
2013	9	21	193	4.8	6	2.89	12.08	8.72	283	1006	15.4	15.7	999	99	99
2013	9	22	221	8.1	10.1	3.07	10.71	7.57	274	1007.7	15.9	15.8	999	99	99
2013	9	23	243	5.3	6.9	3.99	12.9	8.73	290	1013	16	15.7	999	99	99
2013	9	24	196	3.8	5.5	4.49	14.25	10.54	295	1015	13.9	15.6	999	99	99
2013	9	25	254	3.5	5.3	3.59	13.44	9.45	310	1013.9	12.8	15.9	999	99	99
2013	9	26	95	3.6	4.7	2.7	11.61	7.95	312	1019.1	15.1	16.5	999	99	99
2013	9	27	257	6.2	7.6	1.89	8.22	6.15	286	1020.5	15.2	16.3	999	99	99
2013	9	28	212	11.7	14.4	7.06	13.64	10.07	268	1009	15.9	16	999	99	99
2013	9	29	219	12.2	15.1	5.62	12.22	8.53	258	1002.9	14.8	14.9	999	99	99
2013	9	30	243	11.9	14.9	14.54	21.28	17.12	346	1006.7	14.9	15.3	999	99	99
